"Código
CUOC","Ocupación
","Descripción Completa"
41310,"
                                        Operadores de máquinas de procesamiento de texto y mecanógrafos
                                    ","Escriben, editan e imprimen textos con máquinas de escribir, computadores personales u otros procesadores de texto y utilizan la taquigrafía para registrar contenidos orales o escritos. Se pueden desempeñar en medios de comunicación y audiovisuales, instituciones privadas o públicas, entre otros."
41321,"
                                        Grabadores de datos
                                    ","Auxiliar de entrada de datos"
41322,"
                                        Digitadores
                                    ","Ingresan datos e información a sistemas informáticos que alimentan procesos administrativos. Se pueden desempeñar en centros de cómputo adscritos a empresas del sector público y privado, entre otros."
42110,"
                                        Cajeros de bancos y afines
                                    ","Procesan transacciones financieras en caja y orientan directamente a clientes de bancos u oficinas de correos con relación al cobro, el cambio y el pago de dinero o la prestación de servicios financieros y de giros. Se pueden desempeñar en bancos, fiduciarias, otras entidades financieras, oficinas de correo, entre otros."
42120,"
                                        Receptores de apuestas y afines
                                    ","Calculan probabilidades, reciben y pagan apuestas sobre resultados de eventos deportivos o de otra índole y gestionan, operan juegos de azar, mecánicos y de salón en establecimientos dedicados a tal actividad. Se pueden desempeñar en casinos, casas o medios virtuales de apuestas, entre otros."
42130,"
                                        Prestamistas
                                    ","Ayudante de casa de empeño"
42140,"
                                        Cobradores, auxiliares de cartera y afines
                                    ","Tramitan las operaciones activas de crédito y el cobro de pagos correspondientes a cuentas vencidas, cheques sin fondos y recaudan contribuciones; evalúan el riesgo crediticio de las diferentes solicitudes, realizan procesos de análisis de información para ubicar a deudores y convenir formas de pagos. Se pueden desempeñar en compañías de cobranzas, empresas de servicios públicos, departamentos de cartera, entidades financieras, entre otros."
42210,"
                                        Empleados de ventas y servicios de viajes
                                    ","Agente carga aerolínea. Agente de check-in. Agente de línea marítima. Agente de oficina de turismo. Agente de pasajes línea terrestre. Agente de reserva de viajes. Agente de servicio en aeropuerto. Agente de servicios al pasajero. Agente de servicios counter. Agente de tiquetes. Agente de tiquetes de aerolíneas. Agente de ventas en línea marítima de carga. Agente de ventas y servicios de aerolínea. Agente de viajes. Agente de viajes y turismo. Agente viajero. Asesor comercial de viajes. Asesor de viajes. Auxiliar de agencia de viajes. Auxiliar de información de turismo. Auxiliar de oficina de turismo. Auxiliar de reserva de viajes. Auxiliar de reservas. Auxiliar de reservas de aerolínea. Auxiliar de servicio al cliente de aerolínea. Auxiliar de ventas y reservaciones de turismo. Auxiliar de ventas y servicios aerolíneas. Ayudante de check-in en aeropuerto. Empleado servicio al cliente aerolínea. Empleado ventas y servicios aerolíneas. Empleado ventas y servicios de líneas aéreas marítimas y terrestres. Operador de check-in de agencia de viajes. Representante de agencia de viaje. Tiqueteador agente de viajes"
42220,"
                                        Empleados de centros de llamadas
                                    ","Agente contact center cobranzas. Agente de call center cobranzas. Agente de contact center. Asesor call center. Asesor contact center. Auxiliar de centro de llamadas. Auxiliar de información al cliente centro de llamadas. Teleoperador de línea de ayuda"
42230,"
                                        Telefonistas
                                    ","Ayudante de cabina telefónica"
42240,"
                                        Recepcionistas de hoteles
                                    ","Auxiliar de recepción de hotel. Auxiliar recepcionista de hotel. Recepcionista alojamiento"
42251,"
                                        Auxiliares de información y servicio al cliente
                                    ","Suministran, asesoran y responden a preguntas y quejas formuladas personalmente, por correo escrito, electrónico o telefónico y que guardan relación con bienes, productos, servicios y políticas de la organización para la que trabajan, con el fin de resolver las inquietudes regulares o canalizar los requerimientos al área correspondiente, proporcionan información y remiten a las personas a otras fuentes. Sus funciones se desarrollan en lugares donde están en contacto directo con los clientes o con la producción de los bienes y servicios suministrados por su organización. Se pueden desempeñar en establecimientos de comercio al por menor, compañías de seguros, empresas de servicio público, consorcios turísticos, establecimientos del sector público y privado, entre otros."
42252,"
                                        Informadores turísticos
                                    ","Auxiliar de información turística"
42260,"
                                        Recepcionistas generales
                                    ","Auxiliar de consultas. Auxiliar de recepción"
42270,"
                                        Entrevistadores de encuestas y de investigaciones de mercados
                                    ","Auxiliar encuestador. Auxiliar encuestador estadística"
42291,"
                                        Auxiliares administrativos en salud
                                    ","Informan y recepcionan a usuarios en la prestación de servicios a la salud, apoyan administrativamente a médicos generales y especialistas; tramitan formularios de afiliación y apertura de historias clínicas, revisan y generan facturas de ingreso y egreso del cliente o usuario. Se pueden desempeñar en entidades promotoras de salud, hospitales, clínicas y centros de salud de los sectores público y privado, entre otros."
42299,"
                                        Otros empleados de servicios de información al cliente no clasificados en otras ocupaciones
                                    ","Esta ocupación abarca a otros empleados de servicios de información al cliente no clasificados en otras ocupaciones del Grupo Primario 4229: Otros empleados de servicios de información al cliente no clasificados. Por ejemplo, incluye aquellos que entrevistan y documentan la elegibilidad de los usuarios objeto de recibir ayuda de diferentes programas o servicios ya sean de carácter privado o público como el acceso a recursos del organismo, tales como el bienestar, prestaciones por desempleo, seguridad social, y vivienda, entre otros. Se pueden desempeñar en entidades estatales, fundaciones, organismos de derechos humanos, entre otros."
43110,"
                                        Auxiliares de contabilidad, costos y tesorería
                                    ","Apoyan los procesos de cálculo, clasificación y registro de las transacciones contables, financieras, de tesorería y operaciones de flujo monetario, destinados al mantenimiento de los estados o registros financieros completos; realizan diversas funciones de cálculo rutinarias, liquidación de impuestos, cuantificación de costos y verificación de inventarios; llevan libros de contabilidad, verifican obligaciones, depuran y apoyan la elaboración de informes, comprobantes y documentos contables. Se pueden desempeñar en los departamentos del sector público y privado en el área de contabilidad, tesorería, cartera, financiero, empresas de consultoría contable, entre otros."
43121,"
                                        Auxiliares de servicios estadísticos y financieros
                                    ","Obtienen, compilan, registran y calculan datos estadísticos o actuariales, información financiera y llevan a cabo funciones de oficina relacionadas con las operaciones de entidades de seguros, bancos y otros establecimientos financieros. Se pueden desempeñar en bancos, empresas de crédito, agencias de seguros, firmas de inversión, fondos de pensiones y otras entidades financieras en el sector público y privado, entre otros."
43122,"
                                        Auxiliares de avalúos
                                    ","Apoyan los procesos de determinación del valor de un bien de conformidad con los métodos, técnicas, actuaciones, criterios y herramientas que se consideren necesarios y pertinentes para el dictamen valuatorio. Se pueden desempeñar en bancos, agencias de seguros, firmas de inversión, fondos de pensiones, otras entidades financieras en el sector público y privado, entre otros."
43130,"
                                        Auxiliares de nómina y prestaciones
                                    ","Recogen, verifican, procesan y elaboran expedientes del personal e información relativa a los registros contables de las nóminas, apoyan la gestión de pagos y derechos a prestaciones sociales para los trabajadores de un departamento, una empresa o un establecimiento de acuerdo a normativa. Se pueden desempeñar en departamentos de gestión humana en el sector público y privado, entre otros."
43211,"
                                        Auxiliares de almacén y pesaje
                                    ","Reciben, clasifican, registran, pesan, almacenan, despachan, alistan pedidos y materiales, empacan, embalan, rotulan, unitarizan los suministros, materiales de producción recibidos y equipos en centros de distribución y expedición, almacenes y plataformas para mantener un control continuo según normativa y el tipo de producto. Se pueden desempeñar en empresas, comercializadoras de venta al detal y al por mayor, transportadoras, puertos, empresas públicas y privadas, entre otros."
43212,"
                                        Auxiliares de compras e inventarios
                                    ","Tramitan y registran órdenes de compra, codifican productos, mantienen inventario y su distribución a tiempo en los puntos a disposición del cliente final, de materiales, equipos y existencias. Se pueden desempeñar en establecimientos comerciales, fábricas y establecimientos del sector público y privado, entre otros."
43220,"
                                        Empleados de servicios de apoyo a la producción
                                    ","Calculan, estiman y hacen requerimientos de las cantidades de los diversos materiales necesarios en fechas específicas para llevar a cabo los programas de fabricación, construcción y producción u otros programas de producción afines; apoyan en la preparación y verificación de los calendarios de operación y producción; registran flujos de trabajo y monitorean máquinas. Se pueden desempeñar en empresas que fabrican productos como calzado y marroquinería, muebles, productos eléctricos, de plástico, de caucho textiles, confecciones, empresas de impresión y empaque, entre otros."
43231,"
                                        Empleados y operarios de servicios de transporte
                                    ","Agente de equipajes. Agente de equipajes y servicio al cliente. Asistente de enrutamiento. Asistente de envío de cargas. Asistente de envío de transporte aéreo. Asistente de movimiento de carga. Asistente de operaciones de vuelo. Asistente de recibo de carga. Asistente de transporte marítimo de muelle. Asistente despachador de muelles. Asistente despachador de transporte carga. Auxiliar de equipajes. Controlador administrativo de trafico aéreo. Controlador administrativo de transporte ferroviario. Controlador administrativo de transporte marítimo. Coordinador de carga de transporte aéreo. Despachador administrativo de gasoductos. Despachador administrativo de servicio de transporte. Despachador administrativo de trenes. Despachador de ambulancias. Inspector administrativo de transporte por carretera. Planificador de tráfico aéreo. Programador de tripulación auxiliar de vuelo"
43232,"
                                        Inspectores y controladores de transporte
                                    ","Despachador de aerolíneas. Despachador de aeronaves. Inspector de operaciones de aeronave"
44110,"
                                        Empleados de bibliotecas
                                    ","Archivador de biblioteca. Archivador de biblioteca audiovisual. Auxiliar de adquisiciones de biblioteca. Auxiliar de biblioteca. Auxiliar de biblioteca de música. Auxiliar de clasificación de biblioteca. Auxiliar de índices. Auxiliar de préstamo de libros. Auxiliar de referencia de biblioteca. Auxiliar de servicios bibliotecarios. Ayudante de biblioteca"
44120,"
                                        Empleados de servicios de correos
                                    ","Auxiliar de correos. Auxiliar de correos y servicio postal. Auxiliar de correspondencia. Auxiliar de oficina de correos. Auxiliar de remesas. Auxiliar de ventanilla de correo. Auxiliar de ventanilla postal. Auxiliar servicios de correo. Ayudante clasificador de correo. Ayudante de servicios de correos. Controlador administrativo de servicio de postal"
44130,"
                                        Codificadores de datos, correctores de pruebas de imprenta y afines
                                    ","Transcriben, codifican y tabulan información; verifican y corrigen pruebas de imprenta, leyéndolas y cotejándolas con el texto original, señalando y corrigiendo los errores en el material para publicación; desempeñan otras labores administrativas relacionadas con la edición y publicación. Se pueden desempeñar en periódicos, revistas, departamentos de publicaciones del sector público y privado, entre otros."
44140,"
                                        Escribientes públicos y afines
                                    ","Graban y transcriben literalmente las intervenciones en tribunales, congresos, concejos, asambleas y comités; escriben cartas y diligencian formularios en nombre de personas que no saben leer ni escribir; realizan funciones de apoyo en tribunales, cortes judiciales preparan reportes y correspondencia que requiere del conocimiento de terminología legal. Se pueden desempeñar en tribunales, juzgados, asambleas, congresos y cuerpos legislativos, entre otros."
44150,"
                                        Empleados de archivos
                                    ","Archivan correspondencia, tarjetas, facturas, recibos y otros materiales en orden alfabético o numérico de acuerdo con el sistema de archivo utilizado; localizan y eliminan el material de archivo conforme se les solicite; preparan material de archivo para los procesos de gestión documental de la organización; fotocopian, escanean documentos y los envían por correo electrónico y otras herramientas. Se pueden desempeñar en oficinas de archivo, correspondencia, empresas del sector público y privado, entre otros."
44161,"
                                        Auxiliares de talento humano
                                    ","Recopilan, mantienen, actualizan y tramitan información de los procesos de gestión humana y registros de personal sobre transferencias y promociones, evaluaciones de desempeño, permisos disfrutados y acumulados, salarios, calificaciones y formación. Se pueden desempeñar en departamentos de personal en el sector público y privado, organizaciones de intermediación laboral, empresas de selección temporal, entre otros."
44162,"
                                        Auxiliares de seguridad en el trabajo
                                    ","Apoyan la inspección, capacitaciones, manejo de indicadores de gestión y condiciones de los lugares de trabajo; tramitan las incapacidades ante las administradoras de riesgo, procesan información y participan en las actividades de los sistemas de seguridad ambiental, industrial y en el trabajo. Se pueden desempeñar en administradoras de riesgo laboral, aseguradoras, departamentos de recursos humanos de empresas públicas y privadas, entre otros."
44191,"
                                        Auxiliares de publicación y afines
                                    ","Apoyan en la elaboración de resúmenes de prensa, creación de contenidos para su utilización tanto en línea como en las versiones impresas, corrigen material para publicación, prestan apoyo en todas las operaciones efectuadas en gestión y solución de las actividades administrativas relacionadas con la edición y publicación. Se comunican con el personal del departamento de publicidad y con clientes externos. Se pueden desempeñar en periódicos, revistas, departamentos de publicaciones, agencias de publicidad del sector público y privado, entre otros."
44199,"
                                        Otro personal de apoyo administrativo no clasificados en otras ocupaciones
                                    ","Esta ocupación abarca a otro personal de apoyo administrativo no clasificados en otras ocupaciones del Grupo Primario 4419: Otro personal de apoyo administrativo no clasificados. Por ejemplo, incluye aquellos que suministran información y asesoran sobre suscripciones, directorios, productos y servicios asociados con el fin de resolver las inquietudes regulares, canalizan los requerimientos al área correspondiente, orientan a los clientes en el procesamiento y estados de cuenta. Se pueden desempeñar en empresas que ofrecen servicios de entretenimiento, editoriales, periódicos, revistas, entre otros."
51110,"
                                        Personal de servicio a pasajeros
                                    ","Aeromoza. Auxiliar de servicio a pasajeros. Auxiliar de vuelo. Auxiliar de vuelo en cabina. Auxiliar servicios a viajeros. Auxiliar vuelo y sobrecargos. Azafata. Azafata aerolínea. Azafata de barco. Azafata jefa de barco. Azafata transporte terrestre. Sobrecargo de aerolínea. Sobrecargo de avión"
51120,"
                                        Revisores y cobradores de los transportes públicos
                                    ","Auxiliar de transporte escolar. Cobrador de autobuses"
51131,"
                                        Guías de turismo
                                    ","Guía de galería de arte. Guía de turismo de aventura"
51132,"
                                        Anfitriones turísticos locales
                                    ","Transmiten su conocimiento sobre el patrimonio natural y cultural de su territorio a visitantes. Brindan acompañamiento a los visitantes en su ámbito geográfico local. Brindan información manteniendo su autenticidad sociocultural enriqueciendo la experiencia turística. Promueven la conservación y protegen el territorio. Se pueden desempeñar en agencias de viaje, entre otros."
51201,"
                                        Cocineros
                                    ","Hornero de asadero. Parrillero asador carnes"
51202,"
                                        Sabedores de la cocina tradicional
                                    ","Aprendiz de la cocina tradicional. Artesano de la cocina"
51310,"
                                        Meseros y capitanes de meseros
                                    ","Anfitrión de restaurante. Auxiliar de autoservicio de alimentos. Auxiliar de banquetes. Auxiliar de cafetería. Auxiliar de cafetería en barco. Auxiliar de salón comedor en barco. Auxiliar de servicio de alimentos y bebidas. Auxiliar mesa y bar. Capitán de servicio de alimentos y bebidas. Distribuidor de asientos en restaurante"
51321,"
                                        Bartenders
                                    ","Auxiliar de bar. Ayudante bar"
51322,"
                                        Baristas
                                    ","Operan los diferentes métodos de preparación del café, mezclan y sirven bebidas calientes y frías basadas en café directamente a los clientes sobre una barra o mostrador, o a través de meseros siguiendo normas y protocolos de atención, buenas prácticas de manufactura, salud y seguridad industrial. Identifican los diversos tipos de proceso, variedades y orígenes de café, distinguen tipos de tueste y molienda de este. Se pueden desempeñar en restaurantes, hoteles, bares, tabernas, clubes, casas de banquetes, entre otros."
51410,"
                                        Peluqueros
                                    ","Aplican técnicas de peluquería para el cuidado, modificación y embellecimiento cosmético del cabello, cuero cabelludo y pelo facial en condiciones bioseguras. Orientan la imagen del cliente con técnicas de estilismo capilar, pueden vender productos cosméticos capilares. Se pueden desempeñar en salas de belleza, peluquerías y barberías, distribuidoras y comercializadoras de productos cosméticos, entre otros."
51421,"
                                        Manicuristas y pedicuristas
                                    ","Manicurista de uñas artificiales"
51422,"
                                        Cosmetólogos esteticistas
                                    ","Consultor de adelgazamiento"
51423,"
                                        Maquilladores
                                    ","Asistente de maquillaje de efectos especiales. Jefe de maquillaje artístico. Maquillador artístico. Maquillador artístico y decorativo. Maquillador de artistas"
51424,"
                                        Asesores de imagen
                                    ","Armonizan y coordinan servicios de asesoría integral de imagen, con un equipo interdisciplinario; Realizan diseño de imagen personal con técnicas de estilo en el vestir, apariencia, comportamiento y comunicación a nivel personal y en colectivos (empresas, grupos organizados, eventos), buscando potenciar y/o construir cualidades para el cumplimiento de sus objetivos de proyección. Se pueden desempeñar en salas de belleza, medios audiovisuales, teatro, pasarelas de moda, distribuidoras y almacenes de ropa y vestuario, comercializadoras de productos cosméticos, entre otros."
51429,"
                                        Otras ocupaciones elementales de los servicios no clasificados en otras ocupaciones
                                    ","Auxiliar de baño turco. Auxiliar de baños sauna y vapor. Auxiliar de sauna. Auxiliar de spa"
51510,"
                                        Supervisores de mantenimiento y limpieza en oficinas, hoteles y otros establecimientos
                                    ","Ama de llaves hotel. Coordinador de aseo externo. Coordinador de aseo interno. Jefe de alojamiento. Jefe de aseo. Supervisor de aseadores. Supervisor de aseo y mantenimiento. Supervisor de empleados de aseo y mantenimiento hotel. Supervisor de servicio de aseo y mantenimiento en hotel. Supervisor de servicios de alojamiento y hospedaje"
51520,"
                                        Ecónomos y mayordomos domésticos
                                    ","Ama de llaves doméstica. Ecónomo de alimentos y bebidas doméstico"
51530,"
                                        Conserjes y afines
                                    ","Cuidan, velan y mantienen limpios y en orden inmuebles de apartamentos, hoteles, oficinas, iglesias y otros edificios. Pueden supervisar a otros trabajadores y contratistas dependiendo del tamaño y la naturaleza del edificio en cuestión. Se pueden desempeñar en hospitales, centros educativos, comunidades religiosas, establecimientos comerciales, empresas de servicios de limpieza, empresas de servicio doméstico, entre otros."
51610,"
                                        Astrólogos, adivinos y afines
                                    ","Indagan el pasado y predicen los acontecimientos futuros en la vida de los usuarios mediante la práctica de la astrología, consultoría mental, cartomancia, lectura de las líneas de las manos y de los naipes echados al azar; aconsejan o advierten acerca de eventuales comportamientos o sucesos y utilizan otras técnicas similares. Se pueden desempeñar en centros esotéricos, entre otros."
51620,"
                                        Acompañantes
                                    ","Acompañan de sus empleadores y usuarios, atienden diversos requerimientos y necesidades personales de éstos. Se pueden desempeñar en agencias de servicios, particulares, entre otros."
51631,"
                                        Tanatopractores
                                    ",Amortajador
51632,"
                                        Coordinadores de servicios funerarios
                                    ","Asesor de servicios funerarios"
51633,"
                                        Personal de servicios funerarios
                                    ","Auxiliar de funeraria. Auxiliar de morgue. Auxiliar de servicios de velación. Auxiliar en servicios funerarios. Ayudante de funeraria. Ayudante de pompas fúnebres"
51640,"
                                        Cuidadores de animales
                                    ","Ayudan a los veterinarios, tecnólogos de la salud animal y técnicos en servicios veterinarios en lo relacionado con la alimentación, alojamiento, cuidado, ejercitación y juego según la etapa de desarrollo de los animales. Prestan servicios de peluquería y estética animal según estándar de la raza y requerimientos del cliente. Se pueden desempeñar en clínicas veterinarias, refugios de animales, zoológicos, criaderos, escuelas de adiestramiento, entre otros."
51650,"
                                        Instructores de conducción
                                    ","Instructor academia de conducción. Instructor de Centro Integral de Atención vial"
51690,"
                                        Otros trabajadores de servicios personales no clasificados en otras ocupaciones
                                    ","Acompañante de baile. Acompañante de club nocturno. Acompañante en actos sociales. Acompañante social. Animador de club nocturno. Azafata de club nocturno"
52110,"
                                        Vendedores en quioscos y puestos de mercado
                                    ","Auxiliar de ventas en plaza. Auxiliar de ventas en puesto callejero. Auxiliar de ventas en puesto de mercado"
52120,"
                                        Vendedores ambulantes de alimentos preparados para consumo inmediato
                                    ","Preparan y venden alimentos y bebidas con anterioridad o en el momento para el consumo inmediato de manera limpia y ordenada. Se pueden desempeñar en las calles y lugares públicos como estaciones, en la puerta de cines, estadios y teatros, entre otros."
52210,"
                                        Comerciantes de tiendas
                                    ",Abarrotero
52220,"
                                        Supervisores de tiendas y almacenes
                                    ","Supervisan y coordinan las actividades de comercialización de bienes y servicios realizados por el personal de ventas. Se pueden desempeñar en tiendas al por menor y al por mayor, supermercados, grandes superficies, entre otros."
52230,"
                                        Vendedores y auxiliares de venta en tiendas, almacenes y afines
                                    ","Desarrollan las actividades propias del proceso de la venta al público de bienes y servicios o en representación de establecimientos de venta al por menor y al por mayor. Se pueden desempeñar en almacenes, grandes superficies, empresas de alquiler de vehículos, entre otros."
52300,"
                                        Cajeros de comercio, taquilleros y expendedores de boletas
                                    ","Auxiliar de cabina de peajes. Auxiliar de consola de estación de servicio. Cajero apuestas. Cajero de almacén. Cajero de autoservicio. Cajero de tienda de autoservicio"
52410,"
                                        Modelos de moda, arte y publicidad
                                    ","Desfilan prendas de vestir, objetos, accesorios y otros artículos destinados a la venta, modelan para creaciones publicitarias, sesiones de fotografía, cine, vídeo, posan para fotografía artística y otras creaciones de pintores y escultores. Se pueden desempeñar en agencias de modelaje, firmas publicitarias, empresas de protocolo, entre otros."
52420,"
                                        Demostradores de tiendas, almacenes y afines
                                    ","Realizan demostraciones de bienes y servicios, brindan información sobre la calidad, uso, beneficio, precio, entre otras características. Se pueden desempeñar en empresas que proveen servicios de mercadeo, comercializadoras o productoras de bienes de consumo, entre otros."
52430,"
                                        Vendedores puerta a puerta
                                    ","Asesor de ventas puerta a puerta"
52440,"
                                        Vendedores a través de medios tecnológicos
                                    ","Agente de ventas de centro de llamadas. Asesor de ventas a través de llamadas al exterior. Asesor de ventas a través de telemercadeo. Asesor de ventas telefónicas. Asesor de ventas telefónicas a través de llamadas al exterior. Auxiliar de telemercadeo"
52450,"
                                        Expendedores de combustibles para vehículos
                                    ","Asistente de expendio de combustible en puerto deportivo. Auxiliar de bomba de gas en estación de servicio. Auxiliar de bomba de gasolina en estación de servicio. Auxiliar estación de gasolina. Auxiliar estación de servicio de combustible. Ayudante de estación de servicio"
52460,"
                                        Vendedores de comidas en mostrador
                                    ","Auxiliar de barra de ensaladas. Auxiliar de mostrador de cafetería. Auxiliar de servicio de barra de alimentos. Ayudante de servicio de comida en mostrador. Ayudante de servicio de comida en mostrador de bar. Ayudante de servicio de comida en mostrador de cantina"
52490,"
                                        Otros vendedores no clasificados en otras ocupaciones
                                    ","Asesor de ventas de alquiler de vehículos. Asesor de ventas de rentas. Auxiliar de ventas de alquiler. Auxiliar de ventas de alquiler de vehículos. Vendedor de alquiler. Vendedor de alquiler de vehículos. Vendedor de alquiler de videos"
53110,"
                                        Cuidadores de niños
                                    ","Auxiliar cuidado de niños. Auxiliar de guardería infantil. Aya. Aya de casa. Aya de guardería infantil"
53120,"
                                        Auxiliares de maestros y primera infancia
                                    ","Prestan servicio de apoyo en actividades educativas bajo la supervisión de un educador infantil, orientadas a promover el desarrollo integral de las niñas y los niños. Se pueden desempeñar en modalidades de educación inicial, centros de desarrollo infantil, jardines infantiles, preescolares, guarderías, centros de estimulación, sala cunas, sala materna, hogares comunitarios, museos, bibliotecas, ludotecas, parques, entre otros."
53210,"
                                        Trabajadores de los cuidados personales en instituciones
                                    ","Auxiliar de cuidados a pacientes. Auxiliar de hogar geriátrico. Auxiliar de nacimientos en clínica u hospital. Auxiliar de obstetricia en clínica u hospital. Auxiliar de psiquiatría. Ayudante de enfermería en clínica u hospital. Ayudante de enfermería en institución"
53220,"
                                        Trabajadores de los cuidados personales a domicilio
                                    ","Acompañante de ancianos. Auxiliar de atención domiciliaria. Auxiliar de atención residencial para edad avanzada o discapacitados. Auxiliar de centro diurno para edad avanzada o discapacitados. Auxiliar de cuidado de reposo. Auxiliar de cuidados en el hogar. Auxiliar de cuidados en el hogar para edad avanzada o discapacitados. Auxiliar de enfermería en casa. Auxiliar de parto en casa. Ayudante de cuidados personales. Ayudante de enfermería en casa. Ayudante de obstetricia de partos en casa. Ayudante de partos en casa"
53291,"
                                        Auxiliares en enfermería
                                    ","Realizan actividades asistenciales de atención básica a personas en situación de salud a través de la promoción, prevención de la enfermedad, diagnóstico, tratamiento y rehabilitación. Proporcionan cuidados de enfermería y bienestar, bajo la delegación y supervisión de profesionales del equipo multidisciplinario de salud. Se pueden desempeñar en hospitales, clínicas, consultorios y otras instituciones del cuidado de la salud, entre otros."
53292,"
                                        Auxiliares de salud oral
                                    ","Asisten a los odontólogos durante los exámenes, tratamiento a los pacientes. Realizan funciones administrativas y de prevención, promoción y tratamiento de higiene bucodental. Se pueden desempeñar en consultorios odontológicos públicos y/o privados, instituciones educativas, entre otros."
53293,"
                                        Auxiliares en salud pública
                                    ","Asisten y apoyan a la comunidad en el control de enfermedades y promoción de medidas para mejorar las condiciones de salubridad y prevención de enfermedades. Se pueden desempeñar en instituciones de salud y gobierno, en entidades territoriales, entre otros."
53294,"
                                        Auxiliares de laboratorio clínico
                                    ","Reciben y toman muestras de laboratorio, llevan registros y velan por el mantenimiento de los equipos de laboratorio. Se pueden desempeñar en laboratorios, hospitales, clínicas, centros de salud, instituciones de investigación, entre otros."
53295,"
                                        Auxiliares de droguería y farmacia
                                    ","Apoyan la prestación del servicio farmacéutico en los procesos de recepción, almacenamiento y dispensación de medicamentos y dispositivos médicos. Brindan información a personas sobre el uso adecuado de medicamentos y realizan su administración por vía intramuscular. Apoyan las actividades del sistema de distribución en dosis unitaria y las transferencias de medicamentos y dispositivos médicos, todo lo anterior, bajo la delegación y supervisión de profesionales del equipo multidisciplinario de salud. Se pueden desempeñar en farmacias hospitalarias, farmacias, droguerías, laboratorios, agencias de especialidades farmacéuticas, tiendas naturistas, farmacias veterinarias, entre otros."
53299,"
                                        Trabajadores de los cuidados personales en servicios de salud no clasificados en otras ocupaciones
                                    ","Auxiliar de esterilización. Auxiliar de imagen médica. Auxiliar sala de esterilización"
54111,"
                                        Oficiales de bomberos
                                    ","Gestionan y administran el recurso humano, económico, físico y tecnológico de las áreas asignadas en el cuerpo de bomberos para garantizar la gestión integral del riesgo contra incendios, el rescate en todas sus modalidades, la atención de incidentes con materiales peligrosos y otras emergencias. Se pueden desempeñar en el gobierno, entidades no gubernamentales y particulares que presten los servicios bomberiles relacionadas con la gestión integral del riesgo, entre otros."
54112,"
                                        Suboficiales de bomberos
                                    ","Dirigen y coordinan las acciones relacionadas con la gestión integral del riesgo contra incendios, los preparativos y rescate en todas sus modalidades, la atención de incidentes con materiales peligrosos y lideran las actuaciones en otras emergencias. Se pueden desempeñar en el gobierno, entidades no gubernamentales y particulares que presten los servicios bomberiles relacionadas con la gestión integral del riesgo, entre otros."
54113,"
                                        Bomberos
                                    ","Bombero aeronáutico. Bombero aeroportuario"
54114,"
                                        Rescatistas
                                    ","Rescatan a personas, animales y bienes durante eventos de origen natural, antrópico o tecnológico y después de éstos. Desarrollan acciones de búsqueda, salvamento y recuperación a través de diferentes modalidades de rescate técnico. Brindan primeros auxilios. Se pueden desempeñar en entidades de respuesta públicas, privadas, comunitarias reconocidas por el Sistema Nacional para la Gestión del Riesgo de Desastres, entre otros."
54121,"
                                        Oficiales de policía
                                    ","Planean, organizan, dirigen y controlan las actividades administrativas y policivas, como el mantenimiento de la ley y el orden, detectan y previenen el crimen. Se pueden desempeñar en sector público, entre otros."
54122,"
                                        Suboficiales y nivel ejecutivo de la policía
                                    ","Dirigir, controlar y participar en actividades, procedimientos y operaciones policivas para salvaguarda el orden público y las leyes.. Prestar y asegurar servicios en temas de posconflicto, paz y cumplimiento de los deberes sociales del estado y particulares.. Mantener las condiciones necesarias para el ejercicio de los derechos y libertades públicas, contribuyendo a la armonía social, la convivencia ciudadana y el respeto recíproco entre las personas y el Estado.. Capacitar y educar al personal subalterno en actividades, procedimientos, prácticas, ejercicios y otros entrenamientos de preparación policial, así como en actividades de carácter ceremonial y público.. Preparar y rendir informes a los superiores de acuerdo con protocolos y normativa.. Patrullar las áreas urbanas o rurales asignadas para mantener la seguridad y el orden público, para hacer cumplir las leyes y regulaciones.. Investigar hechos y circunstancias bajo los cuales ocurren los delitos, recolectar pruebas y obtener información para ser utilizada en asuntos de investigación criminal y civil o para otros propósitos.. Coordinar actividades y programas de prevención, información y seguridad pública disuasivas y reactivas orientadas a la difusión de normas de comportamiento ciudadano, mantenimiento de la ley y el orden.. Supervisar y coordinar el trabajo de sus subalternos de acuerdo con jerarquía.. Responder al llamado de emergencia brindando ayuda a las personas en casos de accidentes, desastres naturales, delitos, contravenciones, crímenes, entre otros.. Desempeñar funciones afines."
54123,"
                                        Patrulleros y agentes de policía
                                    ","Ejecutan actividades para salvaguardar y hacer respetar las leyes y el orden público; arrestan a presuntos delincuentes, responden a emergencias, patrullan las zonas públicas; hacen respetar los reglamentos y disposiciones relacionados con la circulación de vehículos en las ciudades y carreteras; dirigen el tránsito. Se pueden desempeñar en sector público, entre otros."
54124,"
                                        Auxiliares de policía
                                    ","Controlan, apoyan y velan por el mantenimiento de la ley, el orden público y la protección ciudadana, hacen respetar leyes y reglamentos. Se pueden desempeñar en sector público, entre otros."
54131,"
                                        Oficiales del cuerpo de custodia y vigilancia
                                    ","Planean, implementan y gestionan planes, programas y proyectos de seguridad penitenciaria y carcelaria para la ejecución de la pena privativa de la libertad, atención básica y el tratamiento penitenciario, administrando los recursos físicos y de talento humano del cuerpo de custodia y vigilancia penitenciaria y carcelaria nacional, conforme al marco jurídico, procedimientos y reglamentos internos. Se pueden desempeñar en sector público, entre otros."
